time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-04-27T13:35:53.540Z,35.9178352,-120.4670029,8.65,1.07,md,13,144,0.02699,0.08,nc,nc72627975,2016-04-27T13:50:03.150Z,"26km SSW of Coalinga, California",earthquake,0.78,1.41,0.15,3,automatic,nc,nc
2016-04-27T13:18:34.010Z,37.8773346,-121.9294968,17.85,1.24,md,7,97,0.03915,0.03,nc,nc72627970,2016-04-27T13:34:03.107Z,"5km NNE of Diablo, California",earthquake,0.61,3.47,0.07,5,automatic,nc,nc
2016-04-27T13:01:16.430Z,38.8064995,-122.8206635,2.4,1.03,md,21,107,0.00706,0.03,nc,nc72627960,2016-04-27T13:17:02.078Z,"6km WNW of The Geysers, California",earthquake,0.28,0.44,0.07,5,automatic,nc,nc
2016-04-27T12:51:52.330Z,19.8490009,-155.5585022,22.86,2.22,ml,55,114,0.0935,0.15,hv,hv61243186,2016-04-27T12:57:59.462Z,"22km SSE of Waimea, Hawaii",earthquake,0.41,0.95,0.41,6,automatic,hv,hv
2016-04-27T12:51:22.990Z,14.5722,-92.9671,35,5.8,mb,,114,1.232,1.71,us,us10005bxb,2016-04-27T13:38:46.329Z,"61km WSW of Puerto Madero, Mexico",earthquake,6,1.9,0.03,446,reviewed,us,us
2016-04-27T12:12:02.050Z,35.7976685,-120.6204987,4.65,1.36,md,7,188,0.1953,0.11,nc,nc72627940,2016-04-27T13:14:01.069Z,"8km NE of San Miguel, California",earthquake,2.15,11.26,0.01,3,automatic,nc,nc
2016-04-27T12:08:50.000Z,60.4892,-152.0111,93.1,1.5,ml,,,,0.37,ak,ak13500097,2016-04-27T13:18:24.826Z,"40km WNW of Kalifornsky, Alaska",earthquake,0.7,1.5,,,automatic,ak,ak
2016-04-27T12:03:04.000Z,62.5801,-150.3841,15.9,1.8,ml,,,,0.69,ak,ak13500092,2016-04-27T13:18:26.612Z,"31km NNW of Talkeetna, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
2016-04-27T12:01:56.000Z,62.4123,-149.2393,35.9,1.7,ml,,,,0.78,ak,ak13500089,2016-04-27T13:18:25.848Z,"42km NE of Y, Alaska",earthquake,0.3,2.6,,,automatic,ak,ak
2016-04-27T11:39:58.170Z,38.8339996,-122.7976685,1.89,1.93,md,38,51,0.007219,0.03,nc,nc72627930,2016-04-27T12:24:01.965Z,"6km WNW of Cobb, California",earthquake,0.15,0.25,0.12,12,automatic,nc,nc
2016-04-27T11:31:21.410Z,35.5443,-97.0895,5,2.8,mb_lg,,59,0.028,0.41,us,us10005bx6,2016-04-27T12:03:50.523Z,"9km NE of Harrah, Oklahoma",earthquake,1.7,1.9,0.071,52,reviewed,us,us
2016-04-27T11:20:03.630Z,19.3516674,-155.1815033,0.01,1.75,md,48,76,0.02994,0.31,hv,hv61243151,2016-04-27T11:23:24.340Z,"10km SE of Volcano, Hawaii",earthquake,0.49,0.2,0.22,18,automatic,hv,hv
2016-04-27T10:42:26.170Z,36.0131683,-120.5738297,8.83,2.02,md,34,48,0.04041,0.08,nc,nc72627920,2016-04-27T11:43:01.878Z,"23km SW of Coalinga, California",earthquake,0.27,0.36,0.17,20,automatic,nc,nc
2016-04-27T10:21:13.150Z,33.8138333,-116.9893333,10.91,1.6,ml,66,25,0.01877,0.23,ci,ci37336887,2016-04-27T13:21:16.991Z,"4km NW of San Jacinto, CA",earthquake,0.2,0.4,0.1,26,reviewed,ci,ci
2016-04-27T10:13:50.690Z,-24.1621,-66.8362,176.94,5.2,mb,,25,1.723,1.01,us,us10005bwt,2016-04-27T10:29:15.600Z,"52km W of San Antonio de los Cobres, Argentina",earthquake,4.5,6.2,0.052,123,reviewed,us,us
2016-04-27T09:51:36.000Z,63.1776,-150.5411,117.5,1.6,ml,,,,0.48,ak,ak13499813,2016-04-27T10:36:50.007Z,"83km WSW of Cantwell, Alaska",earthquake,0.6,0.9,,,automatic,ak,ak
2016-04-27T09:45:34.000Z,61.1088,-150.2332,40.8,2.3,ml,,,,0.57,ak,ak13499809,2016-04-27T10:36:48.935Z,"21km SW of Anchorage, Alaska",earthquake,0.3,0.7,,,automatic,ak,ak
2016-04-27T09:31:38.640Z,33.892,-116.6535,14.09,1.19,ml,41,49,0.1095,0.17,ci,ci37336855,2016-04-27T13:48:09.776Z,"10km W of Garnet, CA",earthquake,0.21,0.5,0.239,26,reviewed,ci,ci
2016-04-27T09:10:18.980Z,34.0238333,-116.7425,16.52,1.02,ml,31,79,0.05538,0.21,ci,ci37336839,2016-04-27T13:48:23.828Z,"12km NNE of Cabazon, CA",earthquake,0.31,0.62,0.104,27,reviewed,ci,ci
2016-04-27T09:07:55.700Z,19.0454,-64.3776,39,2.5,Md,4,334.8,0.80219555,0.27,pr,pr16118004,2016-04-27T12:42:09.533Z,"74km NNE of Road Town, British Virgin Islands",earthquake,7.2,16.8,0,4,reviewed,pr,pr
2016-04-27T09:02:11.770Z,33.0078333,-115.9405,9.67,1.24,ml,19,53,0.1231,0.26,ci,ci37336831,2016-04-27T13:48:13.779Z,"23km SE of Ocotillo Wells, CA",earthquake,0.52,1.53,0.178,26,reviewed,ci,ci
2016-04-27T08:41:36.340Z,37.388,-117.5737,14,1.5,ml,22,125.66,0.157,,nn,nn00542032,2016-04-27T08:43:53.101Z,"46km SW of Goldfield, Nevada",earthquake,,,,,automatic,nn,nn
2016-04-27T08:37:40.120Z,33.871,-116.2016667,2.05,1.53,ml,49,56,0.05918,0.17,ci,ci37336823,2016-04-27T08:48:16.850Z,"17km N of Indio, CA",earthquake,0.2,0.62,0.201,26,automatic,ci,ci
2016-04-27T08:20:00.840Z,40.3455009,-124.4396667,16.26,1.84,md,5,262,0.1516,0.04,nc,nc72627880,2016-04-27T10:11:02.278Z,"29km SSW of Ferndale, California",earthquake,2.45,3.94,0.17,2,automatic,nc,nc
2016-04-27T08:19:34.110Z,40.3515015,-124.4843369,21.4,1.7,md,6,259,0.1671,0.03,nc,nc72627885,2016-04-27T10:37:02.361Z,"31km SW of Ferndale, California",earthquake,2.21,0.98,0.07,4,automatic,nc,nc
2016-04-27T08:00:54.220Z,33.5745,-115.9008333,7.58,1.19,ml,32,70,0.0936,0.31,ci,ci37336815,2016-04-27T08:05:47.968Z,"6km NNE of North Shore, CA",earthquake,0.55,1.03,0.129,28,automatic,ci,ci
2016-04-27T08:00:53.000Z,61.25,-150.6588,34.5,1.9,ml,,,,0.83,ak,ak13499803,2016-04-27T09:00:16.872Z,"40km W of Anchorage, Alaska",earthquake,0.3,0.4,,,automatic,ak,ak
2016-04-27T07:32:52.780Z,41.9697,-119.6387,29.7,2.5,ml,13,84.11,0.919,,nn,nn00542030,2016-04-27T07:36:09.148Z,"63km ESE of Lakeview, Oregon",earthquake,,,,,automatic,nn,nn
2016-04-27T07:08:24.240Z,38.8163338,-122.8193359,2.36,1.22,md,18,71,0.0101,0.03,nc,nc72627860,2016-04-27T09:07:03.138Z,"6km NW of The Geysers, California",earthquake,0.25,0.44,0.13,6,automatic,nc,nc
2016-04-27T06:27:51.000Z,61.7126,-149.9087,39.3,1.6,ml,,,,0.59,ak,ak13499801,2016-04-27T07:27:19.371Z,"7km ESE of Willow, Alaska",earthquake,0.4,0.5,,,automatic,ak,ak
